@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27}

@data
1018,'2016/10/06 17:31:27:156',34,243.037949,266.615417,58.543915,230.911163,250.944504,63.912445,265.980164,248.328659,68.043869,325.275391,259.492188,71.096954,365.220215,270.247406,69.824814,5
1019,'2016/10/06 17:31:27:207',34,244.644043,266.601715,58.666309,232.576157,250.818451,64.017792,267.912537,248.22229,68.115631,327.777283,259.472778,71.127167,366.987274,270.190674,69.790451,5
1020,'2016/10/06 17:31:27:255',34,246.234192,266.562561,58.720741,233.977341,250.628891,64.026764,269.513947,248.222656,68.149124,329.446106,259.666992,71.156952,368.24765,270.497864,69.797089,5
1021,'2016/10/06 17:31:27:305',34,247.765823,266.737427,58.699451,235.348129,250.713486,63.979717,270.571045,248.353683,68.077873,330.626984,260.018372,71.155052,369.341705,270.907501,69.792076,5
1022,'2016/10/06 17:31:27:356',34,248.68985,266.65979,58.726162,236.249313,250.713089,64.018105,271.56073,248.350113,68.096062,331.658997,260.096954,71.169106,370.22757,270.97702,69.788651,5
1023,'2016/10/06 17:31:27:408',34,249.27597,266.453125,58.740017,236.557693,250.503876,64.000854,272.105713,248.208527,68.104309,332.267578,259.926331,71.159874,370.728119,270.811188,69.750427,5
1024,'2016/10/06 17:31:27:455',34,249.924347,266.060028,58.741673,237.139435,250.042511,63.982216,272.672485,247.670807,68.060165,332.756317,259.341705,71.103851,371.38385,270.279846,69.701691,5
1025,'2016/10/06 17:31:27:505',34,252.695343,267.458252,57.890419,238.900528,251.93811,63.170006,273.566833,249.391861,67.318947,333.312408,260.569336,70.475197,372.930115,271.170502,69.160507,5
1026,'2016/10/06 17:31:27:557',34,252.371094,267.926666,57.431717,239.975952,252.507782,62.844952,273.624329,249.824402,66.956421,332.457275,260.718872,70.135544,373.216888,271.169403,68.903984,5
1027,'2016/10/06 17:31:27:608',34,251.907852,268.175781,57.196899,240.526199,252.783539,62.703552,273.525177,250.045029,66.79705,331.507355,260.800507,69.956146,373.205536,271.237183,68.813675,5
1028,'2016/10/06 17:31:27:656',34,250.758911,268.647095,57.122864,240.732971,252.871445,62.655998,273.617798,250.179459,66.764862,330.596802,260.812134,69.83522,373.361267,271.259979,68.771164,5
1029,'2016/10/06 17:31:27:705',34,250.409927,268.928345,57.119583,241.114883,253.098434,62.706909,274.362488,250.470474,66.841827,330.751465,261.041138,69.827942,373.745148,271.377991,68.768402,5
1030,'2016/10/06 17:31:27:755',34,250.099213,269.431702,57.148792,241.443253,253.482147,62.767117,274.581055,250.902802,66.878067,331.266602,261.473999,69.854401,374.127075,271.69339,68.762344,5
1031,'2016/10/06 17:31:27:805',34,249.740662,269.848846,57.194504,241.825073,253.785126,62.844955,274.166504,251.135315,66.792366,332.427246,261.904053,69.88768,374.802216,272.001282,68.714523,5
1032,'2016/10/06 17:31:27:858',34,249.314148,270.100464,57.189594,242.246552,254.002884,62.897278,273.860779,251.28064,66.712059,333.709473,262.270569,69.930801,375.461029,272.191315,68.681824,5
1033,'2016/10/06 17:31:27:908',34,248.836685,270.199585,57.174644,242.302582,254.045273,62.903835,273.597351,251.333389,66.679718,334.338257,262.43927,69.969284,375.566467,272.278992,68.686691,5
1034,'2016/10/06 17:31:27:955',34,248.694839,270.196106,57.164257,242.383514,254.026596,62.889565,273.688843,251.364212,66.683029,334.522247,262.494202,69.97113,375.739716,272.363831,68.685303,5
1035,'2016/10/06 17:31:28:009',34,249.147308,270.088165,57.123051,242.69043,254.072403,62.853783,274.031067,251.486328,66.691162,334.619263,262.674347,69.988617,375.784729,272.618408,68.717941,5
1036,'2016/10/06 17:31:28:056',34,250.261734,269.898865,56.984829,243.419205,254.568466,62.795074,274.539276,251.980652,66.641533,335.180176,263.190186,69.980835,376.246552,273.116486,68.716324,5
1037,'2016/10/06 17:31:28:107',34,251.043091,270.034973,56.96122,244.109253,254.962952,62.806522,274.977325,252.398956,66.645485,335.832397,263.69519,70.008163,376.624695,273.646179,68.726654,5
1038,'2016/10/06 17:31:28:157',34,251.445953,270.006744,56.929611,244.57312,255.01355,62.779461,276.020508,252.519363,66.688004,336.6008,263.876953,69.984207,377.210663,273.715881,68.668442,5
1039,'2016/10/06 17:31:28:207',34,252.318466,269.902466,56.929138,245.603653,254.973145,62.799828,277.520691,252.455688,66.722214,338.208984,263.586121,69.929123,378.954865,273.244446,68.586533,5
1040,'2016/10/06 17:31:28:258',34,252.868088,269.958557,56.893059,246.063248,254.929779,62.770397,277.830719,252.176163,66.678482,338.091492,263.055054,69.910843,379.645569,272.732452,68.646927,5
1041,'2016/10/06 17:31:30:459',35,453.062012,273.551331,62.366882,446.737396,257.370575,67.788353,496.774292,258.930237,71.636055,553.132385,269.132446,72.367332,596.708496,279.97998,70.262009,5
1042,'2016/10/06 17:31:30:509',35,452.085815,273.7995,62.360348,445.691772,257.502319,67.774719,495.59201,258.71991,71.591011,552.035522,269.156982,72.347641,595.638794,280.12616,70.249496,5
1043,'2016/10/06 17:31:30:560',35,451.25354,274.149475,62.229321,444.531525,257.611694,67.596382,494.200562,258.612671,71.413666,550.531433,269.115479,72.248047,594.499146,280.164124,70.167221,5
1044,'2016/10/06 17:31:30:610',35,451.020508,274.636963,62.124931,444.291382,257.98114,67.462021,494.040344,258.756958,71.228546,550.516113,269.768616,72.096359,594.463196,280.669983,69.963058,5
1045,'2016/10/06 17:31:30:661',35,451.25058,275.198181,62.015305,444.024719,259.013306,67.380753,494.009003,259.371216,71.115646,551.059753,270.389771,71.996208,594.955933,281.005432,69.802467,5
1046,'2016/10/06 17:31:30:708',35,451.34494,275.1297,62.021111,443.74649,258.939697,67.343582,493.900879,259.179169,71.09861,551.638062,270.225098,72.015015,595.056396,280.819641,69.793221,5
1047,'2016/10/06 17:31:30:759',35,451.018311,274.795502,62.109619,443.330444,258.471375,67.39666,493.498779,258.645386,71.143578,551.538269,269.825378,72.090767,594.702087,280.527344,69.865417,5
1048,'2016/10/06 17:31:30:808',35,451.617035,274.957581,62.488853,442.901642,257.257874,67.612213,493.271576,257.465332,71.356895,551.375488,268.680908,72.284622,594.418457,279.489014,70.046486,5
1049,'2016/10/06 17:31:30:859',35,452.495209,276.115906,62.979809,443.005432,256.532227,67.885826,493.664429,256.956543,71.630074,551.75885,268.00116,72.464462,594.796326,278.992035,70.196442,5
